title,company,city,modality,seniority,description,salary_min,salary_max,published_at,source
Desarrollador Backend Python,AndesTech,Santiago,Hibrido,junior,Python FastAPI PostgreSQL Docker Git API REST,900000,1300000,2026-01-10,manual
Analista de Datos Junior,DataSur,Santiago,Remoto,junior,SQL Python Power BI Excel Pandas limpieza de datos,800000,1200000,2026-01-15,manual
Frontend Developer React,Startup Chile,Remote,Remoto,junior,React TypeScript TailwindCSS Git consumo de APIs,850000,1250000,2026-01-20,manual
Desarrollador Fullstack JavaScript,NovaSoft,Valparaíso,Hibrido,junior,JavaScript React Node.js PostgreSQL Git,950000,1400000,2026-02-05,manual
Práctica Analista BI,RetailData,Santiago,Hibrido,trainee,Power BI SQL Excel reportes dashboards,350000,500000,2026-02-08,manual
Backend Java Spring Boot,Banco Demo,Santiago,Presencial,semi_senior,Java Spring Boot SQL PostgreSQL Docker microservicios,1800000,2600000,2026-02-12,manual
Data Scientist Junior,HealthAI,Remote,Remoto,junior,Python Pandas Scikit-learn Machine Learning SQL,1100000,1600000,2026-03-01,manual
DevOps Engineer Cloud,CloudOps,Santiago,Hibrido,senior,AWS Docker Kubernetes Terraform CI/CD GitHub,2800000,3800000,2026-03-05,manual
QA Automation Junior,QualityLab,Concepción,Remoto,junior,Python Selenium Git testing automatizado,800000,1100000,2026-03-09,manual
Frontend Angular Developer,Fintech Uno,Santiago,Hibrido,semi_senior,Angular TypeScript HTML CSS Git,1500000,2200000,2026-03-20,manual
Ingeniero de Datos,DataWorks,Santiago,Remoto,semi_senior,Python SQL PostgreSQL AWS Docker pipelines de datos,2000000,3000000,2026-04-02,manual
Desarrollador Backend Node.js,ApiFactory,Viña del Mar,Hibrido,junior,Node.js Express PostgreSQL Docker JavaScript,1000000,1500000,2026-04-06,manual
Analista de Datos Trainee,InsightCL,Remote,Remoto,trainee,Excel SQL Power BI Python bases de datos,500000,750000,2026-04-11,manual
Fullstack React Python,Productiva,Santiago,Remoto,semi_senior,React TypeScript Python FastAPI PostgreSQL Docker,1800000,2600000,2026-04-22,manual
Desarrollador PHP Laravel,WebStudio,La Serena,Presencial,junior,PHP Laravel MySQL HTML CSS Git,750000,1100000,2026-05-03,manual
Cloud Engineer AWS,InfraChile,Santiago,Hibrido,senior,AWS Terraform Docker Kubernetes CI/CD,3000000,4200000,2026-05-07,manual
Data Analyst Junior,Comercial BI,Santiago,Hibrido,junior,SQL Power BI Excel Python Pandas,850000,1250000,2026-05-10,manual
Backend Django Developer,AgroTech,Concepción,Remoto,junior,Python Django PostgreSQL Docker APIs REST,950000,1450000,2026-05-14,manual
Mobile Backend APIs,MobileX,Santiago,Hibrido,semi_senior,Node.js TypeScript PostgreSQL AWS Docker,1700000,2400000,2026-05-21,manual
Práctica Desarrollo Web,Duoc Partner,Santiago,Remoto,trainee,HTML CSS JavaScript React Git,300000,450000,2026-06-02,manual
Analista Machine Learning Junior,ModelaAI,Remote,Remoto,junior,Python Pandas NumPy Scikit-learn Machine Learning SQL,1200000,1800000,2026-06-04,manual
Frontend React TypeScript,SaaS Chile,Santiago,Hibrido,junior,React TypeScript Next.js TailwindCSS Git,1000000,1500000,2026-06-07,manual
Backend C# Developer,EnterpriseCL,Santiago,Presencial,semi_senior,C# SQL Azure Git APIs REST,1600000,2300000,2026-06-09,manual
Data Engineer Cloud,BigDataCL,Remote,Remoto,senior,Python SQL AWS Docker PostgreSQL pipelines,2600000,3600000,2026-06-11,manual
